,A,B,C,D,E,G,H,J,K
6.0,6169,6170,6420,6169,6398,6171,6410,6323,6319
16.0,6392,6392,6644,6392,6629,6393,6637,6554,6553
24.0,6568,6568,6828,6568,6806,6570,6821,6733,6729
