,1,10,2,3,4,5,6,7,8,9
6.0,3653630,2584846,3603770,2584846,4220880,2584846,3578286,3721218,2581638,4158315
18.0,3805426,2698730,3730082,2698730,4368585,2698730,3702936,3885202,2693918,4306665
30.0,3967748,2812614,3862488,2812614,4527255,2812614,3834788,4027580,2806599,4464690
