,2A,2B,2C,2D,2E,2F,2G,2H,A,B,C,D,E,F,G,H
5.0,355,323,338,355,355,350,350,355,355,323,323,355,355,350,350,333
12.0,355,338,338,355,355,350,350,355,355,338,338,355,355,350,350,355
20.0,355,338,338,355,355,350,350,355,355,338,338,355,355,350,350,355
