,A,B,C,D,E,F,G
2.0,10103270,9081404,9081404,10103270,10372320,15334250,10270260
6.0,10241290,9205088,9804768,10241290,10548720,15542648,10410290
9.0,10344290,9297851,9297851,10344290,10650640,15699316,10514790
