,A,B,C,D,DH,E,EF,F,G,H,J
8.0,467,469,300,294,796,294,591,297,468,502,503
16.0,467,469,300,294,796,294,591,297,468,502,503
21.0,467,469,300,294,796,294,591,297,468,502,503
