,A,B,C,D,E,F,G,H,J,K
7.0,7017,7027,7008,6990,7261,7159,7324,7013,7159,7100
18.0,7256,7323,7305,7286,7584,7474,7604,7310,7474,7395
28.0,7598,7603,7588,7568,7889,7776,7846,7593,7160,7664
