,4B,4E,4F,4G,A,B,C,D,E,F,G,H
6.0,353,535,364,364,535,353,353,535,535,364,364,535
13.0,353,535,364,364,535,353,353,535,535,364,364,535
20.0,353,535,364,364,535,353,353,535,535,364,364,535
