,6B,6D,6E,6G,6H,A,B,C,D,E,F,G,H
6.0,6511872,8168104,7928634,6694170,7974662,7962844,6462584,6558720,8540682,7962844,6611340,6611340,7962844
13.0,6527488,8384560,8012604,6715254,8050546,8346618,6516960,6577264,8785128,8031886,6760434,6760434,8345996
20.0,6687552,8510826,8237768,6877902,8252074,8260782,6767096,6784176,8811874,8260782,6925592,6925592,8601638
