,B,C,D,F,G,H,I,J,K,L,M,N,O,P,Q
2.0,3310071,3163500,3461584,3522581,3545550,2800098,2693496,3561660,3522041,2749862,2753920,3545135,3561660,3160500,3051000
3.0,3354918,3172500,3473302,3520713,3539250,2858003,2700984,3649080,3534079,2743020,2761600,3556487,3573880,3169500,3059640
4.0,3323208,2891250,3485888,3587027,3596400,2816687,2709720,3587510,3661867,2829789,2770560,3682305,3587510,3179625,3069360
