,C,D,E,F,G,H,J,K
2.0,10735,10521,11010,11761,10088,10116,10483,10622
3.0,10766,10519,11041,11780,10224,10158,10650,10666
5.0,10810,10591,10891,11341,10301,10235,10453,10572
