,A,B,C,D,E,F,G,H,J,K
4.0,3204864,3393558,4145713,4135802,3551982,3204864,4139184,4155041,4145713,4139184
11.0,3284900,3477600,4249487,4240159,3640854,3284900,4242780,4458784,4249487,4131845
18.0,3364936,3570819,4353261,4343350,3729726,3364936,4346376,4363172,4353261,4232415
