,4B,4E,4F,4G,A,B,C,D,E,F,G,H
6.0,5146387,6866725,5297656,5274724,6914340,5136503,5136503,6769355,6976400,5279820,5279820,6914340
13.0,5312297,7081795,5445076,5443256,7128875,5301001,5301001,6904175,7204310,5448716,5030480,7128875
20.0,5480325,7292050,5646004,5613244,7340735,5467264,5467264,7120315,7466460,5508412,5554640,7340735
