,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,7632363.666666667,15256.5,6,45794182.0,91539.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8634435.0,15843.0,545.0,8051850.000000001,15425.0,522.0,6319400.0,16630.0,380.0,9176908.0,15346.0,598.0,7032959.999999999,14208.0,495.0,6578629.0,14087.0,467.0,-0.04988713797864486,-0.04988323213451662
2019-11-15,8033112.666666667,16057.5,6,48198676.0,96345.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9088965.0,16677.0,545.0,8475192.0,16236.0,522.0,6650380.0,17501.0,380.0,9657700.0,16150.0,598.0,7402230.000000001,14954.0,495.0,6924209.0,14827.0,467.0,0.056776736275963025,0.05525739320920042
2019-10-15,7601523.0,15216.666666666666,6,45609138.0,91300.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8677490.0,15922.0,545.0,8091522.0,15501.0,522.0,6347900.0,16705.0,380.0,8815716.0,14742.0,598.0,7066125.0,14275.0,495.0,6610385.0,14155.0,467.0,-0.017123408705438492,-0.01711702013133809
2019-9-15,7733954.666666667,15481.666666666666,6,46403728.0,92890.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8827910.0,16198.0,545.0,8232984.0,15772.0,522.0,6457720.0,16994.0,380.0,8970000.0,15000.0,598.0,7189380.0,14524.0,495.0,6725734.0,14402.0,467.0,-0.03772509280489167,-0.03772842166328261
2019-8-15,8037157.166666667,16088.666666666666,6,48222943.0,96532.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9173440.0,16832.0,545.0,8555580.0,16390.0,522.0,6711180.0,17661.0,380.0,9321624.0,15588.0,598.0,7471530.0,15094.0,495.0,6989589.0,14967.0,467.0,0.003866879054892136,0.0038581129563959315
2019-7-15,8006198.166666667,16026.833333333334,6,48037189.0,96161.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9137470.0,16766.0,545.0,8522172.0,16326.0,522.0,6686480.0,17596.0,380.0,9285744.000000002,15528.0,598.0,7442820.0,15036.0,495.0,6962503.0,14909.0,467.0,0.004646679134718612,0.00463867442565058
2019-6-15,7969168.0,15952.833333333334,6,47815008.0,95717.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9094415.0,16687.0,545.0,8482500.0,16250.0,522.0,6656460.0,17517.0,380.0,9242688.0,15456.0,598.0,7408665.0,14967.0,495.0,6930280.0,14840.0,467.0,-0.011605667873638259,-0.011616860453109168
2019-5-15,8062741.5,16140.333333333334,6,48376449.0,96842.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",9200144.999999998,16881.0,545.0,8581680.0,16440.0,522.0,6735880.0,17726.0,380.0,9350926.0,15637.0,598.0,7496280.0,15144.0,495.0,7011538.0,15014.0,467.0,0.02466161127008859,0.02465295412222801
2019-4-15,7868687.0,15752.0,6,47212122.0,94512.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8978330.0,16474.0,545.0,8374968.0,16044.0,522.0,6574760.0,17302.0,380.0,9125480.0,15260.0,598.0,7316100.0,14780.0,495.0,6842484.000000001,14652.0,467.0,0.03512407742765977,0.03511269796070371
2019-3-15,7601684.833333333,15217.666666666666,6,45610109.0,91306.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8672585.0,15913.0,545.0,8090478.0,15499.0,522.0,6352840.0,16718.0,380.0,8815716.0,14742.0,598.0,7068105.0,14279.0,495.0,6610385.0,14155.0,467.0,-0.003452773344319815,-0.0034598299553605383
2019-2-15,7628022.666666667,15270.5,6,45768136.0,91623.0,3007,"MARINI(LOHAS PARK),Block 3A,Phase IXA,1 LOHAS PARK RD|MARINI(日出康城),第IXA期,第3A座,1 康城路",8702015.0,15967.0,545.0,8118143.999999999,15552.0,522.0,6375640.0,16778.0,380.0,8846214.0,14793.0,598.0,7092855.000000001,14329.0,495.0,6633267.999999999,14204.0,467.0,0.018905643647002757,0.018893732485209647
