,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,7540673.166666667,15077.833333333334,6,45244039.0,90467.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8761965.0,16077.0,545.0,8051850.000000001,15425.0,522.0,6264300.0,16485.0,380.0,8845616.0,14792.0,598.0,6894855.0,13929.0,495.0,6425453.0,13759.0,467.0,-0.023510869928604516,-0.024077929643253948
2019-11-15,7722229.5,15449.833333333334,6,46333377.0,92699.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9222490.0,16922.0,545.0,7363332.0,14106.0,522.0,6469880.0,17026.0,380.0,9211592.0,15404.0,598.0,7257690.0,14662.0,495.0,6808393.0,14579.0,467.0,0.027729141219765774,0.028195259380857873
2019-10-15,7513876.166666667,15026.166666666666,6,45083257.0,90157.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8805020.0,16156.0,545.0,8091522.0,15501.0,522.0,6176140.0,16253.0,380.0,8624356.0,14422.0,598.0,6929010.0,13998.0,495.0,6457209.0,13827.0,467.0,-0.01522942087943302,-0.015387807701548684
2019-9-15,7630077.833333333,15261.0,6,45780467.0,91566.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8867150.0,16270.0,545.0,8232984.0,15772.0,522.0,6283680.0,16536.0,380.0,8775650.0,14675.0,598.0,7050779.999999999,14244.0,495.0,6570223.0,14069.0,467.0,-0.03694431564915657,-0.036938092934222455
2019-8-15,7922779.5,15846.333333333334,6,47536677.0,95078.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9215405.0,16909.0,545.0,8555580.0,16390.0,522.0,6530300.0,17185.0,380.0,9119500.0,15250.0,598.0,7287885.0,14723.0,495.0,6828007.0,14621.0,467.0,0.003924046168528594,0.003917345074809786
2019-7-15,7891811.666666667,15784.5,6,47350870.0,94707.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9179980.0,16844.0,545.0,8522172.0,16326.0,522.0,6505600.0,17120.0,380.0,9083022.0,15189.0,598.0,7259175.0,14665.0,495.0,6800921.0,14563.0,467.0,0.028969221477502805,0.027915558691051112
2019-6-15,7669628.5,15355.833333333334,6,46017771.0,92135.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9138015.0,16767.0,545.0,7368552.0,14116.0,522.0,6475960.0,17042.0,380.0,9040564.0,15118.0,598.0,7225515.0,14597.0,495.0,6769165.0,14495.0,467.0,-0.01412821414429477,-0.014957127889323685
2019-5-15,7779539.5,15589.0,6,46677237.0,93534.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9245379.999999998,16964.0,545.0,7452072.0,14276.0,522.0,6676220.0,17569.0,380.0,9145812.0,15294.0,598.0,7309665.0,14767.0,495.0,6848088.0,14664.0,467.0,0.024761215734686592,0.024760610907816005
2019-4-15,7591563.166666667,15212.333333333334,6,45549379.0,91274.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",9023020.0,16556.0,545.0,7269894.0,13927.0,522.0,6515100.0,17145.0,380.0,8925150.0,14925.0,598.0,7133445.0,14411.0,495.0,6682770.0,14310.0,467.0,0.03901536497708613,0.0397803649951014
2019-3-15,7306497.5,14630.333333333334,6,43838985.0,87782.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8672585.0,15913.0,545.0,7020378.0,13449.0,522.0,6178420.0,16259.0,380.0,8621366.0,14417.0,598.0,6890895.000000001,13921.0,495.0,6455341.0,13823.0,467.0,-0.027135514172893282,-0.026137699971155337
2019-2-15,7510293.166666667,15023.0,6,45061759.0,90138.0,3007,"MARINI,LOHAS PARK,LOHAS PARK RD|MARINI(日出康城),康城路",8702015.0,15967.0,545.0,8118143.999999999,15552.0,522.0,6200080.0,16316.0,380.0,8650070.0,14465.0,598.0,6914160.0,13968.0,495.0,6477290.000000001,13870.0,467.0,0.018942085895635508,0.018934469778325358
