,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10122412.5,14665.5,4,40489650.0,58662.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11131040.0,15248.0,730.0,12220401.0,15143.0,807.0,9976680.0,13320.0,749.0,7161529.0,14951.0,479.0,-0.04992101652243641,-0.049931168515669255
2019-11-15,10654285.25,15436.25,4,42617141.0,61745.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11716500.0,16050.0,730.0,12861159.0,15937.0,807.0,10500980.0,14020.0,749.0,7538501.999999999,15738.0,479.0,0.04743781170400774,0.04743083003952564
2019-10-15,10171759.25,14737.25,4,40687037.0,58949.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11186520.0,15324.0,730.0,12277697.999999998,15214.0,807.0,10025364.999999998,13385.0,749.0,7197454.0,15026.0,479.0,-0.01710330967517859,-0.01710712796998748
2019-9-15,10348757.25,14993.75,4,41395029.0,59975.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11380700.0,15590.0,730.0,12490746.0,15478.0,807.0,10200631.0,13619.0,749.0,7322952.0,15288.0,479.0,-0.037643648352561954,-0.03764381187721633
2019-8-15,10753560.5,15580.25,4,43014242.0,62321.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11825270.0,16199.0,730.0,12978981.0,16083.0,807.0,10600597.0,14153.0,749.0,7609394.0,15886.0,479.0,0.003990099453839768,0.0039952958613245215
2019-7-15,10710823.25,15518.25,4,42843293.0,62073.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11777820.0,16134.0,730.0,12927333.0,16019.0,807.0,10559402.0,14098.0,749.0,7578738.0,15822.0,479.0,0.004777438617191043,0.004775162679270917
2019-6-15,10659896.25,15444.5,4,42639585.0,61778.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11721610.0,16057.0,730.0,12865194.0,15942.0,807.0,10509968.0,14032.0,749.0,7542813.0,15747.0,479.0,-0.011489162486705728,-0.011488735279057805
2019-5-15,10783793.0,15624.0,4,43135172.0,62496.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11856660.0,16242.0,730.0,13014489.0,16127.0,807.0,10633553.0,14197.0,749.0,7630470.0,15930.0,479.0,0.02477707950459007,0.0247765844060015
2019-4-15,10523062.25,15246.25,4,42092249.0,60985.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11569040.0,15848.0,730.0,12699759.0,15737.0,807.0,10377395.0,13855.0,749.0,7446054.999999999,15545.0,479.0,0.03527489187194233,0.035275943436263946
2019-3-15,10164510.25,14726.75,4,40658041.0,58907.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11174840.0,15308.0,730.0,12266400.0,15200.0,807.0,10024616.0,13384.0,749.0,7192185.0,15015.0,479.0,-0.0033353105799460714,-0.003333107742284791
2019-2-15,10198525.5,14776.0,4,40794102.0,59104.0,2765,"GRAND MARINI(LOHAS PARK),Block 2A,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2A座,1 康城路",11211340.0,15358.0,730.0,12307557.0,15251.0,807.0,10059070.0,13430.0,749.0,7216135.0,15065.0,479.0,0.019019756104323715,0.01901691350149126
