,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,9521040.6,15264.4,5,47605203.0,76322.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11811895.0,15047.0,785.0,12080789.999999998,14970.0,807.0,7589946.0,13901.0,546.0,9347072.0,14336.0,652.0,6775499.999999999,18068.0,375.0,-0.04982688181078421,-0.049846873988496965
2019-11-15,10020322.0,16065.2,5,50101610.0,80326.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12432045.0,15837.0,785.0,12712671.0,15753.0,807.0,7989072.0,14632.0,546.0,9836072.0,15086.0,652.0,7131750.0,19018.0,375.0,0.05132425247791894,0.05571253959283462
2019-10-15,9531143.2,15217.4,5,47655716.0,76087.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11966539.999999998,15244.0,785.0,12134052.0,15036.0,807.0,7627073.999999999,13969.0,546.0,9388800.0,14400.0,652.0,6539250.0,17438.0,375.0,-0.01835685272817933,-0.018282927332782806
2019-9-15,9709376.8,15500.8,5,48546884.0,77504.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12175350.0,15510.0,785.0,12343065.0,15295.0,807.0,7760844.0,14214.0,546.0,9617000.0,14750.0,652.0,6650625.000000001,17735.0,375.0,-0.03771156094788808,-0.03774334525228451
2019-8-15,10089882.0,16108.8,5,50449410.0,80544.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12651845.0,16117.0,785.0,12824037.0,15891.0,807.0,8064966.0,14771.0,546.0,9995812.0,15331.0,652.0,6912750.0,18434.0,375.0,0.0039491383269438796,0.003913747974573001
2019-7-15,10050192.4,16046.0,5,50250962.0,80230.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12600820.0,16052.0,785.0,12770775.0,15825.0,807.0,8033844.0,14714.0,546.0,9958648.0,15274.0,652.0,6886875.0,18365.0,375.0,0.0046835350436005285,0.004658268426456891
2019-6-15,10003341.4,15971.6,5,50016707.0,79858.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12541945.000000002,15977.0,785.0,12708636.0,15748.0,807.0,7996716.0,14646.0,546.0,9913660.0,15205.0,652.0,6855750.0,18282.0,375.0,-0.01152438449458315,-0.01156055054955929
2019-5-15,10119967.8,16158.4,5,50599839.0,80792.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12687170.0,16162.0,785.0,12853896.0,15928.0,807.0,8090628.0,14818.0,546.0,10031020.0,15385.0,652.0,6937125.0,18499.0,375.0,0.024711150018756678,0.024681023767851196
2019-4-15,9875922.4,15769.2,5,49379612.0,78846.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12380235.000000002,15771.0,785.0,12541587.0,15541.0,807.0,7895706.0,14461.0,546.0,9791084.0,15017.0,652.0,6771000.0,18056.0,375.0,0.035205133651525555,0.035172712592067557
2019-3-15,9540063.2,15233.4,5,47700316.0,76167.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11958690.000000002,15234.0,785.0,12112263.0,15009.0,807.0,7627620.0,13970.0,546.0,9459868.0,14509.0,652.0,6541875.0,17445.0,375.0,-0.0033952864962587537,-0.0034280181606457516
2019-2-15,9572564.8,15285.8,5,47862824.0,76429.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11998725.0,15285.0,785.0,12150999.0,15057.0,807.0,7653828.0,14018.0,546.0,9493772.0,14561.0,652.0,6565500.0,17508.0,375.0,0.018977192054456804,0.018944645904436896
2019-1-15,9394287.6,15001.6,5,46971438.0,75008.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11775000.0,15000.0,785.0,11921811.000000002,14773.0,807.0,7511868.0,13758.0,546.0,9318384.0,14292.0,652.0,6444375.0,17185.0,375.0,0.03986791757228003,0.03982810009010884
2018-12-15,9034116.2,14427.0,5,45170581.0,72135.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11322840.0,14424.0,785.0,11461820.999999998,14203.0,807.0,7224126.0,13231.0,546.0,8963044.0,13747.0,652.0,6198750.0,16530.0,375.0,-0.0353023952789584,-0.03533171964641535
2018-11-15,9364713.0,14955.4,5,46823565.0,74777.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11736535.0,14951.0,785.0,11879040.0,14720.0,807.0,7488936.0,13716.0,546.0,9292304.0,14252.0,652.0,6426750.0,17138.0,375.0,0.0334420395387951,0.033402432283029304
2018-10-15,9061672.2,14472.0,5,45308361.0,72360.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11355810.0,14466.0,785.0,11491680.0,14240.0,807.0,7247058.0,13273.0,546.0,8993688.0,13794.0,652.0,6220125.0,16587.0,375.0,-0.10736248678775806,-0.10739397527940198
2018-9-15,10151570.0,16213.2,5,50757850.0,81066.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12720925.0,16205.0,785.0,12870843.0,15949.0,807.0,8119020.0,14870.0,546.0,10077312.0,15456.0,652.0,6969750.0,18586.0,375.0,0.0017984188046080707,0.0017671119459239382
2018-8-15,10133346.0,16184.6,5,50666730.0,80923.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12697375.0,16175.0,785.0,12845019.0,15917.0,807.0,8104824.0,14844.0,546.0,10061012.0,15431.0,652.0,6958500.0,18556.0,375.0,0.007027806394667602,0.006993442092557256
2018-7-15,10062627.8,16072.2,5,50313139.0,80361.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12607885.0,16061.0,785.0,12752214.0,15802.0,807.0,8048586.0,14741.0,546.0,9993204.0,15327.0,652.0,6911250.0,18430.0,375.0,0.015056109571607967,0.015017935633810042
2018-6-15,9913371.0,15834.4,5,49566855.0,79172.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12420270.0,15822.0,785.0,12560147.999999998,15564.0,807.0,7929558.0,14523.0,546.0,9846504.0,15102.0,652.0,6810375.0,18161.0,375.0,0.025823246414425016,0.025783213702676777
2018-5-15,9663819.8,15436.4,5,48319099.0,77182.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12107055.0,15423.0,785.0,12240576.0,15168.0,807.0,7730268.0,14158.0,546.0,9600700.0,14725.0,652.0,6640499.999999999,17708.0,375.0,0.00298765953447222,0.0029497758430250265
2018-4-15,9635033.6,15391.0,5,48175168.0,76955.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",12070160.0,15376.0,785.0,12201033.0,15119.0,807.0,7707882.0,14117.0,546.0,9573968.0,14684.0,652.0,6622125.0,17659.0,375.0,0.03782374494532581,0.03778673823041556
2018-3-15,9283882.4,14830.6,5,46419412.0,74153.0,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",11628990.0,14814.0,785.0,11753955.0,14565.0,807.0,7427238.0,13603.0,546.0,9227104.0,14152.0,652.0,6382125.0,17019.0,375.0,,
2018-2-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2018-1-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-12-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-11-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-10-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-9-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-8-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-7-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-6-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-5-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-4-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-3-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-2-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2017-1-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-12-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-11-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-10-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-9-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-8-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-7-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-6-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-5-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
2016-4-15,,,5,,,3165,"GRAND MARINI,LOHAS PARK,LOHAS PARK RD|GRAND MARINI(日出康城),康城路",,,785.0,,,807.0,,,546.0,,,652.0,,,375.0,,
