,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,28807092.0,24320.0,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28974648.0,24328.0,1191.0,28639536.0,24312.0,1178.0,,0.005602866016613639,0.005602762099691905
2020-11-15,28646589.0,24184.5,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28812672.0,24192.0,1191.0,28480506.0,24177.0,1178.0,,-0.012373639234017464,-0.012373660030627898
2020-10-15,29005492.5,24487.5,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29173545.0,24495.0,1191.0,28837440.0,24480.0,1178.0,,0.014017234888900054,0.014017143567021328
2020-9-15,28604536.0,24149.0,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28769795.999999996,24156.0,1191.0,28439276.0,24142.0,1178.0,,-0.014647593269139891,-0.014648278113269186
2020-8-15,29029752.0,24508.0,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29193792.0,24512.0,1191.0,28865712.0,24504.0,1178.0,,-0.01848091464971169,-0.01848254870942545
2020-7-15,29576350.0,24969.5,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29734506.0,24966.0,1191.0,29418194.0,24973.0,1178.0,,0.011321617685800645,0.011320372620494235
2020-6-15,29245246.5,24690.0,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29395071.0,24681.0,1191.0,29095422.0,24699.0,1178.0,,-0.0010707188320936423,-0.0010721582748366432
2020-5-15,29276593.5,24716.5,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29418891.0,24701.0,1191.0,29134296.000000004,24732.0,1178.0,,0.02366946384493107,0.023669496790225786
2020-4-15,28599655.0,24145.0,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28738830.0,24130.0,1191.0,28460480.0,24160.0,1178.0,,-0.0036109782769940812,-0.003610853193025898
2020-3-15,28703302.0,24232.5,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28843638.0,24218.0,1191.0,28562966.0,24247.0,1178.0,,0.021757077612567288,0.021757004617038778
2020-2-15,28092100.0,23716.5,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28229082.0,23702.0,1191.0,27955118.0,23731.0,1178.0,,-0.014215397099202609,-0.014215350084169853
2020-1-15,28497199.0,24058.5,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",28636404.0,24044.0,1191.0,28357994.0,24073.0,1178.0,,0.027921358739722457,0.027921384319589793
2019-12-15,27723131.5,23405.0,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",27858681.0,23391.0,1191.0,27587582.0,23419.0,1178.0,,-0.050333783500320584,-0.05033373232435945
2019-11-15,29192500.5,24645.5,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",29335521.0,24631.0,1191.0,29049480.0,24660.0,1178.0,,0.047852930806100424,0.04785289115646263
2019-10-15,27859349.0,23520.0,"ALTO RESIDENCES(Block 1),TONG YIN ST|藍塘傲1座,唐賢街",27995646.0,23506.0,1191.0,27723052.0,23534.0,1178.0,,-0.01649643378957355,-0.01649626795458825
