,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8497819.8,14584.0,5,42489099.0,72920.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8308228.0,15161.0,548.0,8415048.0,15384.0,547.0,11535162.999999998,14437.0,799.0,7298572.0,13466.0,542.0,6932088.0,14472.0,479.0,-0.049900745057741114,-0.049902280130293186
2019-11-15,8944139.0,15350.0,5,44720695.0,76750.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8743888.0,15956.0,548.0,8857024.0,16192.0,547.0,12140805.0,15195.0,799.0,7682850.0,14175.0,542.0,7296128.0,15232.0,479.0,0.04746851149425413,0.04746697237689701
2019-10-15,8538814.2,14654.4,5,42694071.0,73272.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8347684.0,15233.0,548.0,8455526.0,15458.0,547.0,11590294.000000002,14506.0,799.0,7335428.0,13534.0,542.0,6965139.0,14541.0,479.0,-0.017148648779618303,-0.017156040831109
2019-9-15,8687798.2,14910.2,5,43438991.0,74551.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8492904.0,15498.0,548.0,8603216.0,15728.0,547.0,11791642.0,14758.0,799.0,7464424.0,13772.0,542.0,7086805.0,14795.0,479.0,-0.037703386800076344,-0.0377039446509706
2019-8-15,9028191.6,15494.4,5,45140958.0,77472.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8824992.0,16104.0,548.0,8940168.0,16344.0,547.0,12253464.0,15336.0,799.0,7758188.0,14314.0,542.0,7364146.000000001,15374.0,479.0,0.003955420343477067,0.0039524667280055326
2019-7-15,8992622.0,15433.4,5,44963110.0,77167.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8789920.0,16040.0,548.0,8905160.0,16280.0,547.0,12204725.0,15275.0,799.0,7728378.0,14259.0,542.0,7334927.0,15313.0,479.0,0.004702872974387651,0.004700153633830695
2019-6-15,8950528.8,15361.2,5,44752644.0,76806.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8748272.0,15964.0,548.0,8863588.0,16204.0,547.0,12147197.0,15203.0,799.0,7693148.0,14194.0,542.0,7300438.999999999,15241.0,479.0,-0.01152319164213711,-0.011531234717253036
2019-5-15,9054869.8,15540.4,5,45274349.0,77702.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8849652.0,16149.0,548.0,8966971.0,16393.0,547.0,12287821.0,15379.0,799.0,7784204.0,14362.0,542.0,7385701.0,15419.0,479.0,0.024725447151687563,0.024727339865747044
2019-4-15,8836386.2,15165.4,5,44181931.0,75827.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8635932.0,15759.0,548.0,8750359.0,15997.0,547.0,11991392.0,15008.0,799.0,7597214.0,14017.0,542.0,7207034.0,15046.0,479.0,0.03520072210646674,0.03519501972723171
2019-3-15,8535915.8,14649.8,5,42679579.0,73249.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8341656.0,15222.0,548.0,8452791.0,15453.0,547.0,11583103.0,14497.0,799.0,7339764.0,13542.0,542.0,6962265.0,14535.0,479.0,-0.0033695920766445564,-0.0033742873858797484
2019-2-15,8564775.6,14699.4,5,42823878.0,73497.0,2915,"OCEAN MARINI(LOHAS PARK),Block 1B,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1B座,1 康城路",8369604.0,15273.0,548.0,8481782.0,15506.0,547.0,11621455.000000002,14545.0,799.0,7365780.0,13590.0,542.0,6985257.0,14583.0,479.0,0.018955398802704915,0.018951892416470217
