,A1,A2,A4,A5,A6,A7,A8,A9,B1,B1B2,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6
5.0,,6104510,6258900,6376535,5730450,5999840,4482750,2979600,5700000,8947359,5874180,5730450,4047350,3161700,6130470,6092424,6364800,5874180,9128000,4183100,2620575,5790500,5278960,5700000,2743290,5668705,4185460,2921790,4072080,6185160,6321425,5730450,4937975,4709375,2934985,5857320,5267790
10.0,6761150,6363500,6525810,6651575,5875410,6255920,4675605,3104920,5844000,9324612,5862858,5875410,4228520,3294540,6392015,6354348,6663360,6025500,2670876,4374850,2734100,6026560,5878430,5844000,2862117,5813235,4366000,3294540,4247640,6469440,6499710,5875410,5310625,4913505,3058070,5999440,5489640
15.0,7040450,6551290,6698790,7182000,5712330,6414320,4931670,3234400,5682000,9701865,5700210,5712330,4294400,3432240,6560345,6533748,6950400,5861700,2782260,4543590,2847625,5621780,5752345,5682000,2980944,5651570,4545360,3432240,4422060,6644240,6685235,5712330,5528850,5271075,3186305,6231240,5700780
