,A,AB1B2C-H,B1,B2,B2 & C,C,D,E,E-G,F,G,H
6.0,1230,,645,1980,1980,1340,720,1035,2465,830,600,680
9.0,1230,,645,640,1980,1340,720,1035,2465,830,600,680
12.0,1230,,645,640,1980,1340,720,1035,2465,830,600,680
