,A1,A10,A11,A12,A13,A14,A15,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B3 & B4,B3B4,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4
5.0,9576,10398,9378,10406,9798,9378,10185,10173,10262,9362,10366,10429,9075,9364,9378,9182,10939,10655,8485,8485,9036,9747,8861,8558,8152,9181,9004,7806,9273,7946,8384,8528,8899,10151,8684,8544,8329,8695
10.0,10014,10282,10071,10748,10118,10071,10716,10749,10099,9277,10728,10889,9589,9773,10071,9568,11525,11553,8945,8945,10203,10148,9239,8934,8955,8868,9513,8131,8276,8276,9129,8902,9307,10501,8992,9009,8779,9000
14.0,10354,8813,10413,11509,10302,10413,11071,11292,10437,10398,10398,11250,9932,10116,10413,10475,11790,11891,9238,9238,10211,10493,9538,9226,9249,11003,9830,8525,8675,8675,9590,9193,9642,10871,9534,9305,9066,9548
