,A1,A10,A11,A12,A13,A14,A15,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B3 & B4,B3B4,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4
5.0,715,695,695,715,695,695,695,700,715,700,700,690,675,695,695,620,665,630,1280,1280,650,645,555,555,535,564,1055,515,530,530,1145,565,565,565,1240,1255,1345,1210
10.0,715,695,695,715,695,695,695,700,715,583,700,690,675,695,695,620,665,630,1280,1280,650,645,555,555,564,564,1055,515,530,530,1145,565,565,565,1240,1255,1345,1210
14.0,715,485,695,715,695,695,695,700,715,700,700,690,675,695,695,620,665,630,1280,1280,650,645,555,555,564,564,1055,515,530,530,1145,565,565,565,1240,1255,1345,1210
