,A,B,C,D,E,EAST PENTHOUSE,F,G,H,WEST PENTHOUSE
3.0,,,,,24638888,,24485760,46298901,,
5.0,,,27956116,,25134232,,24894000,,,
7.0,,,28410850,,25474408,,25302240,,,
