,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
4.0,7430940,8233695,5280320,5524725,8040900,8233695,5302592,6235740,6989565,7552575,5079600,5612676,6918780,7693650,5140800,5553700
9.0,7755660,8594775,5380544,5757475,8510565,8594775,5524848,6165975,7296300,7882650,5290650,4958772,7192240,8039250,5359950,5786925
14.0,8731800,9811550,5597232,5358380,8994930,8967330,5723904,6475466,7605455,4762491,5069925,5217848,7532250,7648764,5832944,5805525
