,A1,A2,A4,A5,A6,A7,A8,A9,B1,B1B2,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6
5.0,,890,930,955,755,880,645,520,750,1503,780,755,610,540,905,897,960,780,1630,590,475,740,755,750,489,745,590,510,570,920,905,755,725,685,515,760,765
10.0,950,890,930,955,755,880,645,520,750,1503,753,755,610,540,905,897,960,780,468,590,475,740,755,750,489,745,590,540,570,920,905,755,725,685,515,760,765
15.0,950,890,930,1000,755,880,645,520,750,1503,753,755,610,540,905,897,960,780,468,590,475,740,755,750,489,745,590,540,570,920,905,755,725,685,515,760,765
