,A,B,C,C1,D,E,F,G,H,I,J,K,L,M,M & N,N,O,P,Q,R
3.0,11315,11390,11440,11347,10551,10815,10815,10815,11249,10907,10420,10751,10544,11585,9476,11455,11081,9523,10678,9672
6.0,11602,11689,11744,11645,10819,11089,11089,11089,11534,11184,10684,11034,10827,11888,9729,11755,11361,9729,10965,9931
8.0,11793,11000,12031,11851,10998,11273,11273,11273,11725,11369,10861,11229,11020,12097,9909,11962,11547,9866,11159,10115
