,A,AB,B,C,D,E,F,G,H
6.0,15814664,,14024162,15711200,15814664,15822328,15847236,15814664,15814664
9.0,16215108,,14383412,16109728,16215108,16217024,16250554,16215108,16215108
12.0,16615552,,14740746,16509214,16615552,16605014,16947978,16615552,16615552
