,A,B,C,CD,D,E,EFI,F,F & I,G,H,I
5.0,7227312,7099200,7227312,10239735,7142580,7227312,,9002400,,8357990,6356520,8838900
8.0,7331310,7286472,7418256,10498269,7331310,7418256,,8418080,,8580045,6518160,9073960
12.0,7663464,7527192,7573500,10842168,7573500,7663464,,8696160,,8863510,6733440,9373880
