,A1,A2,A3,A4,A5,A6,B1,B1B2,B2,B3,B4,B5,B6
2.0,8587960,8737600,7035960,7035960,6950580,6950580,8587960,,8587960,6930560,7035960,6950580,6950580
5.0,8814140,8968080,7226360,7226360,7138180,7138180,8814140,,8814140,7116880,7226360,7138180,7138180
8.0,9050640,9208020,7422880,7422880,7332480,7332480,8125310,,9050640,7308640,7422880,7332480,7332480
