,A,B,D,E,F,G,H,I
2.0,2533392,2699059,2729934,2929696,2533392,2691372,3430807,2488620
5.0,2596464,2766049,2797533,3008808,2596464,2758048,3521175,2550465
8.0,2659244,2820917,2865132,3081221,2659244,2825040,3611543,2612025
