,1,2,3,4,5,6,68,7,8
7.0,11924175,11162200,12170450,11051700,11939600,11163050,17298225,11924175,10743030
10.0,10868850,11007900,11702250,10416240,12168550,10511100,17729775,12217400,11007900
14.0,11588460,11364300,12081125,10758195,11756500,10852290,18307800,11588460,11365110
