,A,B,C,D,E,F,G,H,I,J,JK,K,K2,L,M,M-2,M1,M2,N
5.0,7576,8200,8019,8114,8215,7586,8431,7322,7803,7362,7435,11043,11043,10236,7067,7038,10680,7835,6621
9.0,7847,8410,8341,8406,8511,7849,8486,7587,8079,7617,7704,11421,11421,10582,7310,7281,11045,8122,6851
13.0,8117,8705,8637,8700,8809,8115,8783,8436,8366,7875,7977,11798,11798,10899,7556,7529,11410,8392,7085
