,A,A1,A2,B,B1,C,D,E,F,G,H
2.0,870,435,375,853,375,295,277,742,257,428,410
4.0,870,435,375,853,375,,277,314,257,428,410
7.0,795,435,375,777,375,295,277,314,257,428,410
