,A,AB1B2C-H,B1,B2,B2 & C,C,D,E,E-G,F,G,H
6.0,11151,,11639,7749,7749,10103,12036,11054,7329,11693,12410,12161
9.0,11454,,12593,12609,7946,10369,12353,11345,7515,12001,12737,12481
12.0,11756,,12916,12932,8143,10635,12670,11636,7701,12309,13064,12801
