,A1,A2,A4,A5,A6,A7,A8,A9,B1,B1B2,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6
5.0,,6859,6730,6677,7590,6818,6950,5730,7600,5953,7531,7590,6635,5855,6774,6792,6630,7531,5600,7090,5517,7825,6992,7600,5610,7609,7094,5729,7144,6723,6985,7590,6811,6875,5699,7707,6886
10.0,7117,7150,7017,6965,7782,7109,7249,5971,7792,6204,7786,7782,6932,6101,7063,7084,6941,7725,5707,7415,5756,8144,7786,7792,5853,7803,7400,6101,7452,7032,7182,7782,7325,7173,5938,7894,7176
15.0,7411,7361,7203,7182,7566,7289,7646,6220,7576,6455,7570,7566,7040,6356,7249,7284,7240,7515,5945,7701,5995,7597,7619,7576,6096,7586,7704,6356,7758,7222,7387,7566,7626,7695,6187,8199,7452
