,A,B,C,D,E,F,G,H,J,K,L
33.0,1141,820,1481,610,1025,1198,1038,947,1115,819,1164
46.0,1141,840,1481,608,1025,1180,1038,947,1133,819,1141
59.0,1153,,2204,1724,2258,1153,1049,923,1143,819,1150
