,A,B,C,D,E,F,G,H,I,J,JK,K,K2,L,M,M-2,M1,M2,N
5.0,6212320,4821600,4715172,4998224,5060440,3929548,4932135,6487292,3214836,3629466,6304880,3920265,3920265,3633780,3229619,3216366,4015680,3580595,2727852
9.0,6434540,4945080,4904508,5178096,5242776,4065782,4964310,6722082,3328548,3755181,6532992,4054455,4054455,3756610,3340670,3327417,4152920,3711754,2822612
13.0,6655940,5118540,5078556,5359200,5426344,4203570,5138055,5863020,3446792,3882375,6764496,4188290,4188290,3869145,3453092,3440753,4290160,3835144,2919020
