,A,B,C,CD,D,E,EFI,F,F & I,G,H,I
5.0,408,408,408,813,405,408,,465,,445,360,460
8.0,405,408,408,813,405,408,,440,,445,360,460
12.0,408,408,405,813,405,408,,440,,445,360,460
