,A,B,C,D,E,F,G,H,I,J,JK,K,K2,L,M,M-2,M1,M2,N
5.0,820,588,588,616,616,518,585,886,412,493,848,355,355,355,457,457,376,457,412
9.0,820,588,588,616,616,518,585,886,412,493,848,355,355,355,457,457,376,457,412
13.0,820,588,588,616,616,518,585,695,412,493,848,355,355,355,457,457,376,457,412
