,A,B,D,E,F,G,H,I
2.0,8676,8461,8198,9184,8676,8517,9719,8732
5.0,8892,8671,8401,9432,8892,8728,9975,8949
8.0,9107,8843,8604,9659,9107,8940,10231,9165
