,A,A1,A2,B,B1,C,D,E,F,G,H
2.0,14507,16240,17617,14502,16486,15603,16320,15407,16752,16231,16288
4.0,14757,16258,17889,14752,16569,,15460,16734,15591,16516,16575
7.0,15365,16751,19750,14601,16962,15835,15874,16972,15698,17114,16629
