,A,B,C,C1,D,E,F,G,H,I,J,K,L,M,M & N,N,O,P,Q,R
3.0,548,605,615,615,490,510,510,510,543,517,480,730,790,560,1130,590,530,650,695,1077
6.0,548,605,615,615,490,510,510,510,543,517,480,730,790,560,1130,590,530,650,695,1077
8.0,548,605,615,615,490,510,510,510,543,517,480,730,790,560,1130,590,530,650,695,1077
