,1,2,3,4,4A,5,6,7,8,A,A & D,B,C,D,E,F,FG,G,H,I,J
4.0,4297800,5413140,3623100,4317300,3761640,3686005,4137585,4606560,4067280,4345200,6480720,3795175,4273830,4206960,4164810,3985745,6183570,4219740,4296600,4167360,4154760
10.0,4577820,6087825,3822650,4543175,3910950,4095040,4352990,4293360,4343400,4592520,6811920,3991940,4482720,4429800,4258915,4156550,6544080,4419135,4511115,4446000,4374000
16.0,4726410,6345780,4061525,4748250,4098600,4195205,4459855,4492800,4431960,4833720,7140240,4177200,4508130,4640760,4459515,4351545,6586170,4627350,4727835,4534200,4584960
