,A,C,D,E,F,I,J
2.0,20574750,10034750,14357055,15154470,15154470,15841000,15841000
5.0,21106050,10294350,14728575,15546390,15546390,16250530,16250530
8.0,21638400,10553950,15100095,15938310,15938310,16660060,17786535
