,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7681268.75,30182.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6516097.000000001,32099.0,203.0,9508203.0,30573.0,311.0,8445330.0,27243.0,310.0,6255445.0,30815.0,203.0,,0.02340775129969974,0.023395778587776528
2020-11-15,7505580.0,29492.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6367501.000000001,31367.0,203.0,9290503.0,29873.0,311.0,8251580.0,26618.0,310.0,6112736.0,30112.0,203.0,,-0.033105743197915705,-0.03369810949837815
2020-10-15,7762565.5,30521.0,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6643986.999999999,32729.0,203.0,9585642.0,30822.0,311.0,8513220.0,27462.0,310.0,6307413.0,31071.0,203.0,,0.004928021869120558,0.004914106036036703
2020-9-15,7724499.0,30371.75,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6612116.0,32572.0,203.0,9538370.0,30670.0,311.0,8470750.0,27325.0,310.0,6276760.0,30920.0,203.0,,0.07191541018931047,0.07189998058903457
2020-8-15,7206258.0,28334.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6169170.0,30390.0,203.0,8898021.0,28611.0,311.0,7901900.0,25490.0,310.0,5855941.0,28847.0,203.0,,-0.10553460438405782,-0.10554643601237457
2020-7-15,8056497.25,31678.0,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6897737.000000001,33979.0,203.0,9947646.0,31986.0,311.0,8833450.0,28495.0,310.0,6547156.0,32252.0,203.0,,0.04102390191823879,0.04101215905356548
2020-6-15,7739012.75,30430.0,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6626529.0,32643.0,203.0,9555786.0,30726.0,311.0,8484390.0,27369.0,310.0,6289346.0,30982.0,203.0,,0.00456727531111234,0.004572239737220096
2020-5-15,7703827.25,30291.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6596079.0,32493.0,203.0,9512557.0,30587.0,311.0,8445950.0,27245.0,310.0,6260723.0,30841.0,203.0,,0.018581766290005186,0.018595423440993963
2020-4-15,7563288.0,29738.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6475091.0,31897.0,203.0,9339330.0,30030.0,311.0,8292500.0,26750.0,310.0,6146231.0,30277.0,203.0,,0.005623124542073699,0.0056388275972845125
2020-3-15,7520996.5,29571.75,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6438145.0,31715.0,203.0,9287393.0,29863.0,311.0,8246930.0,26603.0,310.0,6111518.0,30106.0,203.0,,0.0991866219820765,0.09919897409210865
2020-2-15,6842329.0,26903.0,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",5856753.0,28851.0,203.0,8449559.0,27169.0,311.0,7503239.999999999,24204.0,310.0,5559764.0,27388.0,203.0,,-0.10081141559770779,-0.10079799456862337
2020-1-15,7609448.25,29918.75,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6512645.999999999,32082.0,203.0,9397176.0,30216.0,311.0,8345199.999999999,26920.0,310.0,6182771.000000001,30457.0,203.0,,0.051778482846042584,0.051792023342883686
2019-12-15,7234839.25,28445.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6191500.0,30500.0,203.0,8934719.0,28729.0,311.0,7935070.0,25597.0,310.0,5878068.0,28956.0,203.0,,-0.0860226834376493,-0.08600759906497768
2019-11-15,7915775.5,31122.25,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6773298.0,33366.0,203.0,9775974.0,31434.0,311.0,8682790.0,28009.0,310.0,6431040.0,31680.0,203.0,,0.11577686775734497,0.11579277583579817
2019-10-15,7094407.25,27892.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6069903.0,29901.0,203.0,8761803.0,28173.0,311.0,7782550.0,25105.0,310.0,5763373.0,28391.0,203.0,,-0.06197935587172965,-0.06196401546998487
2019-9-15,7563167.5,29735.0,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6470219.000000001,31873.0,203.0,9341196.0,30036.0,311.0,8297460.0,26766.0,310.0,6143795.0,30265.0,203.0,,-0.03900687378216783,-0.038992938286766976
2019-8-15,7870157.75,30941.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6732089.0,33163.0,203.0,9720616.0,31256.0,311.0,8635050.0,27855.0,310.0,6392876.0,31492.0,203.0,,0.013346810447010027,0.0133623724761327
2019-7-15,7766499.75,30533.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6642566.0,32722.0,203.0,9592795.0,30845.0,311.0,8522210.0,27491.0,310.0,6308428.0,31076.0,203.0,,-0.08991891970038512,-0.08990379958121897
2019-6-15,8533854.75,33549.75,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",7298053.000000001,35951.0,203.0,10541034.0,33894.0,311.0,9365100.0,30210.0,310.0,6931232.0,34144.0,203.0,,0.08785860172479643,0.08787360468226879
2019-5-15,7844636.0,30839.75,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6707932.0,33044.0,203.0,9689827.0,31157.0,311.0,8609630.0,27773.0,310.0,6371155.0,31385.0,203.0,,-0.01620700165797817,-0.016189617909067033
2019-4-15,7973868.5,31347.25,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6817552.000000001,33584.0,203.0,9849992.0,31672.0,311.0,8752230.0,28233.0,310.0,6475700.0,31900.0,203.0,,0.01552554536525097,0.015542236980643054
2019-3-15,7851962.5,30867.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6712601.0,33067.0,203.0,9699779.0,31189.0,311.0,8619240.0,27804.0,310.0,6376230.0,31410.0,203.0,,0.0331205055893804,0.03313530248514773
2019-2-15,7600238.75,29877.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6496609.0,32003.0,203.0,9389090.0,30190.0,311.0,8343650.0,26915.0,310.0,6171606.0,30402.0,203.0,,0.05963582506422194,0.059654909471369644
2019-1-15,7172500.75,28195.5,"CENTRAL 8,MOSQUE ST|半山捌號,摩羅廟街",6130194.0,30198.0,203.0,8861012.0,28492.0,311.0,7874930.0,25403.0,310.0,5823867.0,28689.0,203.0,,-0.038106953108037356,-0.03809020196506552
