,A,A G & J-P,ABCDP,B,C,D,E,F,G,H,I,J,K,L,M,MN,N,P
4.0,5023380,,,5030820,4949880,5059665,5180490,5073646,9728750,5293750,5278545,5278545,5278545,6135675,5784850,8059545,3871600,3924450
8.0,5163740,,,5131710,5088390,5201235,5339250,5216773,10030000,5442500,5426760,5426760,5426760,6312575,5939790,8282070,3981600,4038255
13.0,5400576,,,5317530,5346486,5463018,5410803,5408787,10406250,5644375,5626635,5626635,5626635,6633750,6143625,8591535,4121200,4181220
