,1,11,13,15,17,19,21,23,3,5,5A,5B,7,9
4.0,7444300,5136415,5878825,5954000,5941650,5280490,5163535,7414550,6000865,5321170,,,5782400,5946200
10.0,7793650,5383885,6086745,6241950,6241950,5533610,5402530,7778350,6218390,5581635,,,6059950,6241950
15.0,6398400,5575985,6299185,6462950,6116500,5729665,5593500,8055450,6433655,5422200,,,6275100,6462950
