,1,10,11,12,14,16,17,18,19,2,20,21,22,24,3,4,5,6,6A,7,8,9
4.0,7320200,5835050,5159580,5159580,4586890,5835050,5835050,6104150,5159580,6318000,5223425,5159580,5159580,6596250,5159580,5235855,5159580,4932700,,5835050,5640700,5835050
10.0,7643200,6092450,5387275,5387275,4796120,6092450,6092450,6377150,5387275,6588000,5450555,5387275,5387275,6886500,5387275,5195740,5387275,5387275,,6092450,5894200,6092450
15.0,7911800,6264240,5576550,5576550,4971050,6306300,6306300,6598150,5576550,6811500,5634745,5576550,5576550,7128750,5576550,5640395,5576550,5331275,,6306300,5943600,6306300
