,25,26,27,28,29,2931,30,31,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,whole floor
4.0,9833,10978,10076,10372,10076,8085,10372,10035,10921,10070,10134,10372,11210,10818,9699,10779,11010,10174,10372,10076,10372,10956,10803,10076
10.0,10212,10277,10488,10823,10488,8443,10823,10570,10179,10477,10549,10823,10407,11321,10091,10194,10318,10590,11413,10488,10823,11415,11259,10488
15.0,11731,10779,11228,11213,11835,8744,11213,11702,10670,10825,12823,12823,10759,11747,11782,11415,11237,11817,11846,11228,11213,11798,10510,11228
