,1,2,3,4,5,6,7,8,A1,A2,A4,A5,A8
6.0,3820635,4843020,4762800,4267800,4548240,4762800,4762800,4267800,4288680,4712400,4246200,4267800,4283280
12.0,3950100,4966080,4966080,4404960,4403880,4966080,4384784,4404960,4470120,4916940,4428720,4404960,4438440
19.0,4102875,5183220,5183220,4618800,4591080,5183220,4597794,4618800,4619520,5068140,4533120,4618800,4649760
