,A,B,C,D,E,F,whole floor
6.0,5277060,4911375,5674373,4596711,4804570,5012238,4563912
10.0,5433240,5057850,5841503,4731468,4943950,5161863,4697553
15.0,5627040,5239500,6048249,4898586,5116660,4897326,4863766
