,A,A G & J-P,ABCDP,B,C,D,E,F,G,H,I,J,K,L,M,MN,N,P
4.0,8661,,,8826,8684,8649,8223,8614,7783,8470,8583,8583,8583,8463,9110,7787,9679,9690
8.0,8903,,,9003,8927,8891,8475,8857,8024,8708,8824,8824,8824,8707,9354,8002,9954,9971
13.0,9216,,,9329,9234,9197,9003,9183,8325,9031,9149,9149,9149,9150,9675,8301,10303,10324
