,A,B,C,E,F,G,H,HI,I
7.0,9844,9104,8954,10290,9483,8936,9143,7982,8815
10.0,10052,9301,9158,10387,9708,9139,9345,8166,9016
14.0,9106,9563,9430,10811,10091,9411,9610,8416,9290
