,1,10,10B,11,12,13,14,15,16,17,18,2,20,22,23,24,3,4,5,6,7,8,9
4.0,6642,8865,9570,9233,8985,9233,9534,9033,9105,9033,8463,6761,9233,9294,6642,6761,9233,9233,8654,9233,9033,9033,9274
10.0,6924,9248,9966,9618,9387,9618,9928,9412,9400,9412,9895,7048,9618,9680,6924,7048,9618,9618,9016,9618,9412,9412,9662
15.0,7159,9423,10279,9926,9706,10041,10242,9716,9704,9716,9114,7847,9926,9988,7159,7287,9926,9926,9320,9926,9716,9716,9822
