,1,10,11,12,14,16,17,18,19,2,20,21,22,24,3,4,5,6,6A,7,8,9
4.0,8612,8977,9132,9132,9361,8977,8977,9391,9132,8424,9245,9132,9132,8795,9132,9267,9132,9220,,8977,8678,8977
10.0,8992,9373,9535,9535,9788,9373,9373,9811,9535,8784,9647,9535,9535,9182,9535,9196,9535,9535,,9373,9068,9373
15.0,9308,9712,9870,9870,10145,9702,9702,10151,9870,9082,9973,9870,9870,9505,9870,9983,9870,9965,,9702,9144,9702
