,A,A G & J-P,ABCDP,B,C,D,E,F,G,H,I,J,K,L,M,MN,N,P
4.0,580,,,570,570,585,630,589,1250,625,615,615,615,725,635,1035,400,405
8.0,580,,,570,570,585,630,589,1250,625,615,615,615,725,635,1035,400,405
13.0,586,,,570,579,594,601,589,1250,625,615,615,615,725,635,1035,400,405
