,A,B,C,D,DEF,E,F
6.0,5313947,5695542,5606400,5606400,,5142222,5140150
10.0,5325011,5867802,5775360,5775360,,5300910,5294585
15.0,5515404,6078690,5982720,5982720,,5494050,5484517
