,1,11,13,15,17,19,21,23,3,5,5A,5B,7,9
4.0,8758,9091,10405,9160,9141,9346,9139,8723,10621,9418,,,8896,9148
10.0,9169,9529,10773,9603,9603,9794,9562,9151,11006,9879,,,9323,9603
15.0,9920,9869,11149,9943,9410,10141,9900,9477,11387,10328,,,9654,9943
