,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,44,45,46,47,whole floor
4.0,8382000,9751375,6631970,8008090,6631970,8008090,6913880,8927010,5843905,6671520,8008090,5943235,7178980,7325995,8927010,7180580,6631970,8008090,6652875,8018030,8837600,6631970
10.0,8763000,9990060,6936505,8373030,6936505,8373030,7332980,9332010,6115050,6976620,8373030,6198050,7508200,7041450,9332010,7434120,6936505,8373030,6960235,8389360,9239200,6936505
15.0,7689345,10349970,7190755,8676200,4238745,8676200,7617460,9670590,4396524,4696085,8676200,5827720,7741940,7299625,9670590,7280075,7190755,8676200,6569040,8693240,7299625,7190755
