,1,10,10B,11,12,13,14,15,16,17,18,2,20,22,23,24,3,4,5,6,7,8,9
4.0,5645700,5762250,4153380,5216645,5076525,5216645,4271232,5871450,5918250,5871450,5500950,5070750,5216645,5251110,5645700,5070750,5216645,5216645,4889510,5216645,5871450,5871450,6028100
10.0,5885400,6011200,4325244,5434170,5303655,5434170,4447744,6117800,6110000,6117800,6431750,5286000,5434170,5469200,5885400,5286000,5434170,5434170,5094040,5434170,6117800,6117800,6280300
15.0,6085150,6124950,4461086,5608190,5483890,5271525,4588416,6315400,6307600,6315400,5924100,5885250,5608190,5643220,6085150,5465250,5608190,5608190,5265800,5608190,6315400,6315400,6384300
