,1,2,3,4,5,6,B1,B2,B3,B4,B5,B6
5.0,10968,10328,10328,10575,10306,10495,10880,10333,11147,11044,10220,10338
12.0,11551,10860,10860,11130,10836,10836,11461,12442,11769,11495,10626,10876
18.0,11871,11317,11317,11614,11293,11293,11800,12974,12322,11980,11098,11337
