,A,B,C,D,E,F,G,H,K,L
2.0,10489,10494,10581,10478,10513,10513,10742,10940,10770,10664
4.0,10671,10651,10742,10634,10671,10671,10773,11124,10932,10825
6.0,11020,10805,10898,10787,10826,11185,10929,10997,11089,10982
