,1,10,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8
4.0,8308460,6785090,5631920,,5755120,6785090,6785090,6692630,6785090,5822320,8308460,5822320,5640880,,7885780,7885780,5822320,5822320,5822320,5822320,6785090,6785090
10.0,8691160,5997750,6090560,,5972960,7097310,6763650,7009540,7097310,6090560,8691160,6090560,5897920,,8248835,8248835,6090560,6090560,6090560,6078240,7097310,7097310
15.0,6843720,6147900,6314000,,,7357940,7357940,7262130,6843720,6314000,5580410,5828790,6632160,,8551515,5580410,6314000,5828790,6314000,8076750,7357940,7357940
