,25,26,27,28,29,30,31,32,33,35,36,37,39,40,41,42,43,44,45,46,47,48
4.0,10088,10050,10694,11012,10950,10970,10641,11211,10613,8897,10970,10970,10551,10839,10385,10551,10983,10970,10973,10970,9987,9957
10.0,10464,10223,11166,11483,11439,11455,11373,11708,10910,9346,11455,11455,10837,10837,9286,11317,11468,11455,11457,11455,10408,10408
15.0,10810,10572,12016,11892,11856,11860,11774,12122,11194,9742,11860,11860,11930,11194,10871,11404,11874,11860,12054,11860,11672,10753
